Age,Gender,Country,City,Membership_Years,Login_Frequency,Session_Duration_Avg,Pages_Per_Session,Cart_Abandonment_Rate,Wishlist_Items,Total_Purchases,Average_Order_Value,Days_Since_Last_Purchase,Discount_Usage_Rate,Returns_Rate,Email_Open_Rate,Customer_Service_Calls,Product_Reviews_Written,Social_Media_Engagement_Score,Social_Score_missing,Payment_Method_Diversity,Lifetime_Value,Credit_Balance,Churned,Signup_Quarter
33,Female,Germany,Hamburg,4.8,5,26.8,6.5,62.1,5,7,119.41,12,18.6,3.1,0,5,3,4.5,0,3,855.25,0,0,Q2
30,Female,UK,London,1.5,18,41.3,12.6,31.7,0,16,34.79,23,17.2,6.9,31.4,3,4,21.9,0,2,480.17,2576,0,Q3
24,Male,USA,Phoenix,5,4,14.9,5.4,63.3,0,11,202.86,15,68.5,3.1,8.1,7,2,23.6,0,1,2351.35,848,1,Q2
23,Male,Canada,Vancouver,0.5,29,53.9,12,38.7,12,24,188.73,24,5,0.3,45.1,3,3,79.3,0,3,3916.6,3174,1,Q2
52,Male,Germany,Berlin,3,8,19.1,5.8,67.4,2,8,101.68,14,62,3.9,0,6,3,12.2,0,3,684.17,1270,0,Q3
18,Female,Canada,Calgary,3.2,12,26.8,6,67.9,10,16,62.3,9,48.5,1.5,26.2,2,2,54.2,0,4,1162.08,4505,0,Q1
19,Male,Canada,Calgary,1.4,6,19.6,5.9,68,1,6,143.18,61,71.5,22.1,2.7,11,1,27.4,1,1,999.46,0,1,Q2
38,Female,UK,Glasgow,4,4,28,11.8,69.1,0,10,172.32,0,22.2,3.1,30.9,7,4,27.4,1,3,1426.94,3415,0,Q1
37,Male,France,Toulouse,1.2,18,33.1,10.6,38.9,5,15,134.58,13,28.6,4.5,25.4,3,4,52.7,0,1,2203.77,2465,0,Q3
33,Female,UK,London,6.1,12,29.1,9.1,56.4,6,10,152.18,30,17.3,1.6,30.9,8,2,40.8,0,4,1791.1,1032,0,Q1
34,Female,USA,Houston,1.2,0,12.5,6.1,79.8,0,4,85.53,18,47.7,3.4,0,9,0,0,0,5,343.08,2679,1,Q3
44,Male,Germany,Cologne,3.1,16,23.3,8.2,70.4,4,9,61.17,17,41.3,5,38.9,9,2,6.7,0,4,482.29,4050,0,Q1
37,Female,USA,Chicago,0.9,9,24.6,8.3,60.2,0,14,95.39,8,51,10.7,20,5,6,2.3,0,2,1290.47,3249,0,Q3
30,Male,USA,New York,1.3,21,37.4,12.1,50.8,12,20,59.24,43,27.1,3.5,38.9,8,3,33.4,0,2,1203.94,2581,0,Q1
